"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2","go","genename"
"Irf5",2193.97761685265,1.51346601678329,0.13829637514126,10.9436419807633,7.1277842134938e-28,5.32519216446747e-26,1002,1290,3089,3507,"GO:0000975","interferon regulatory factor 5"
"Ncf1",3057.58286864977,1.54476951646747,0.14151283586836,10.9161088249582,9.65439202185402e-28,7.16342662827017e-26,1402,1733,4118,5143,"GO:0001878","neutrophil cytosolic factor 1"
"Aff4",2820.49744221517,1.4914658677028,0.136665436046866,10.9132631544917,9.96151390636868e-28,7.3410258603872e-26,1305,1674,4232,4191,"GO:0001650","AF4/FMR2 family, member 4"
"Zhx2",396.4709674421,2.45738805448053,0.225533563397893,10.8958862594883,1.20586773153276e-27,8.82646292952325e-26,121,122,619,743,"GO:0000122","zinc fingers and homeoboxes 2"
"Paqr8",358.872904916074,2.56708882833851,0.235620463550919,10.8950164584654,1.21744552501081e-27,8.85140092110211e-26,76,136,617,628,"GO:0003707","progestin and adipoQ receptor family member VIII"
"Pfkp",570.27762451519,2.39843079784799,0.220513065611732,10.8765926916595,1.49029991656096e-27,1.07629459974032e-25,189,170,1023,912,"GO:0000166","phosphofructokinase, platelet"
"Fam167a",357.423203901314,3.01796832626554,0.278316726781057,10.8436469527743,2.1377552189566e-27,1.53366240310972e-25,93,60,611,678,"GO:0003674","family with sequence similarity 167, member A"
"Eif2c2",3741.46644068743,1.48327615364053,0.136974553529498,10.8288445950006,2.5130621092366e-27,1.79105275193158e-25,1814,2132,5590,5567,NA,NA
"Cxcl16",1239.06912022493,1.68519533796143,0.155632311024428,10.8280557351419,2.53480259207561e-27,1.79473963921275e-25,483,710,1845,1989,"GO:0005041","chemokine (C-X-C motif) ligand 16"
"Rap2a",1181.40455506264,1.88596385192766,0.17457272058686,10.8033136310623,3.32001278463164e-27,2.33543496726718e-25,502,495,1836,1931,"GO:0000166","RAS related protein 2a"
"Spred1",824.170764118019,2.09318980452943,0.193872843947559,10.7967148049657,3.56739984987812e-27,2.49326726282127e-25,234,407,1417,1283,"GO:0000188","sprouty protein with EVH-1 domain 1, related sequence"
"Ilf3",1478.6039993885,1.62339192672879,0.151050515516721,10.74734449714,6.09923178349231e-27,4.23544730195976e-25,617,848,2063,2474,"GO:0003677","interleukin enhancer binding factor 3"
"Kif21b",3079.88052548954,1.75921035278872,0.163881890472174,10.7346232565423,7.00039192093594e-27,4.8302704254458e-25,1356,1437,5158,4439,"GO:0000166","kinesin family member 21B"
"Tifab",647.301127781602,-2.03433272984885,0.189603366763665,-10.7294124812909,7.40655721413528e-27,5.07817938612199e-25,824,1299,254,261,"GO:0003674","TRAF-interacting protein with forkhead-associated domain, family member B"
"Spag9",5963.47202638201,1.5125906247042,0.141117085433834,10.7186923543246,8.3170854095741e-27,5.66660290829662e-25,2788,3425,9401,8441,"GO:0000187","sperm associated antigen 9"
"Nudt9",400.085222158342,2.49358083733821,0.232667357185469,10.7173643415328,8.43734256071443e-27,5.71260824751371e-25,124,115,620,760,"GO:0005739","nudix (nucleoside diphosphate linked moiety X)-type motif 9"
"Chd4",2906.55397204353,1.4434449815728,0.135409471711363,10.6598523968075,1.56846169511587e-26,1.05535065485654e-24,1399,1741,4000,4630,"GO:0000122","chromodomain helicase DNA binding protein 4"
"Fnbp1",5195.32639641906,1.58022721586079,0.149216321211981,10.5901767516161,3.30966325723196e-26,2.21318407812308e-24,2449,2747,8311,7417,"GO:0005515","formin binding protein 1"
"Rora",220.218662467012,3.71293923150531,0.351436374254042,10.5650396587046,4.32785707267656e-26,2.87629912075492e-24,38,23,477,345,"GO:0000977","RAR-related orphan receptor alpha"
"Hmox1",1009.09779906906,2.23109312865719,0.211850235335879,10.5314640086186,6.18647330531827e-26,4.08646739734834e-24,384,310,1494,1888,"GO:0001525","heme oxygenase 1"
"Ptpn1",1554.90432601547,1.74426785893081,0.166669032656071,10.4654585866001,1.24472347778942e-25,8.17217541508652e-24,709,708,2290,2568,"GO:0003723","protein tyrosine phosphatase, non-receptor type 1"
"Crtc2",1720.49640496864,1.61352264041738,0.154477564174711,10.4450290178871,1.54408160912604e-25,1.00765277540135e-23,698,1022,2709,2536,"GO:0003682","CREB regulated transcription coactivator 2"
"Nfkbib",1061.92502292687,1.89285951935328,0.181320840658434,10.4392827238154,1.64045499972531e-25,1.0641346713787e-23,453,439,1559,1838,"GO:0005515","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, beta"
"Slc2a6",618.868349076989,2.00349036195643,0.192332749530763,10.4167925995151,2.07844547765817e-25,1.34022618211137e-23,196,307,904,1111,"GO:0005351","solute carrier family 2 (facilitated glucose transporter), member 6"
"Tmem131",13637.3629063879,1.33906511067813,0.12890068896113,10.3883471955835,2.80165877441057e-25,1.79587985225975e-23,6667,8931,20281,19256,"GO:0003674","transmembrane protein 131"
"Ctsz",2123.70193463581,1.5239026054486,0.146757751626894,10.3837963484399,2.93852420245194e-25,1.87253133442129e-23,1030,1158,3000,3395,"GO:0004180","cathepsin Z"
"Srxn1",123.807479396898,4.73913890134993,0.456831944676071,10.3739218690373,3.25869829924016e-25,2.06441395764144e-23,8,10,220,265,"GO:0000166","sulfiredoxin 1 homolog (S. cerevisiae)"
"Ggta1",2306.16923306352,1.49413037028861,0.144040648211323,10.3729772730303,3.29108066427378e-25,2.07280679279522e-23,1120,1297,3188,3724,"GO:0005794","glycoprotein galactosyltransferase alpha 1, 3"
"Nfatc1",4089.66475459892,1.5167255882999,0.146363376159118,10.3627398335701,3.66315996727259e-25,2.29381571823491e-23,2053,2156,5937,6349,"GO:0000082","nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1"
"Hps3",1551.53091284053,-1.69028621412001,0.163381932212841,-10.3456128301754,4.38104277693084e-25,2.72757680474091e-23,2030,2756,802,680,"GO:0005737","HPS3, biogenesis of lysosomal organelles complex 2 subunit 1"
"Cd82",1112.73803274296,1.6306384830128,0.157792502563016,10.3340682004938,4.94191520774644e-25,3.05918671117241e-23,456,644,1589,1827,"GO:0005887","CD82 antigen"
"Ifi30",6810.68387319538,1.3648719403828,0.13238494760356,10.3098725730514,6.35855735957808e-25,3.91376431115394e-23,3199,4518,9000,10944,"GO:0002376","interferon gamma inducible protein 30"
"Sqstm1",1491.49439731783,2.03569600810951,0.197778100867596,10.2928281704572,7.59132885274485e-25,4.6461505910613e-23,630,515,2291,2573,"GO:0000122","sequestosome 1"
"Cd180",6908.2746654323,1.30321029004662,0.127678494017714,10.2069679006851,1.845416405453e-24,1.12311213035238e-22,3561,4445,9189,10781,"GO:0002224","CD180 antigen"
"Hivep1",4257.14615208545,1.45094445023388,0.142267122298713,10.1987333882201,2.00875015767362e-24,1.21568661776974e-22,2183,2356,6103,6534,"GO:0000122","human immunodeficiency virus type I enhancer binding protein 1"
"Gm17384",260.448441008512,2.70546253849586,0.265681791763683,10.1830935441082,2.35939085970762e-24,1.41996006573404e-22,68,70,478,434,NA,NA
"Stat6",2327.40780195657,1.40656747793519,0.138358374466937,10.1661173987796,2.80882644113607e-24,1.68110590258713e-22,1154,1404,3245,3612,"GO:0000122","signal transducer and activator of transcription 6"
"Rab7",2703.3496995753,1.69771202404725,0.167256779223742,10.1503331101228,3.30234297717875e-24,1.96561986108667e-22,1259,1266,3633,4778,"GO:0000045","RAB7, member RAS oncogene family"
"Dennd4b",3252.67438771369,1.38376340497132,0.136549280486622,10.1338022437027,3.91137530959927e-24,2.31540594146934e-22,1487,2171,4681,4849,"GO:0005085","DENN/MADD domain containing 4B"
"Vav1",1818.76675584379,1.80091102037072,0.177860366814691,10.1254205904514,4.26142661738018e-24,2.50891492098258e-22,763,856,3179,2516,"GO:0001784","vav 1 oncogene"
"Calhm2",373.494043753087,-2.31516804791929,0.229498871060322,-10.0879278282409,6.24743834138086e-24,3.65829727309075e-22,480,793,117,137,"GO:0005261","calcium homeostasis modulator 2"
"Kif1a",135.866001142678,3.8318790042923,0.381715429606071,10.0385750930917,1.03153426743664e-23,6.00785522534471e-22,15,21,271,242,"GO:0000166","kinesin family member 1A"
"Rhof",446.149275793122,2.04319796519718,0.203960428479504,10.0176194981984,1.27537732311336e-23,7.38832221459201e-22,153,198,664,795,"GO:0000166","ras homolog family member F (in filopodia)"
"Acp5",1795.12882415751,1.6071280632128,0.160573241574394,10.0086916565623,1.39586262692956e-23,8.01933476915401e-22,843,926,2413,3085,"GO:0003993","acid phosphatase 5, tartrate resistant"
"Lbh",1066.57914325901,-1.65091578549608,0.164951998829934,-10.0084618386357,1.39910853075797e-23,8.01933476915401e-22,1365,1911,461,587,"GO:0005634","limb-bud and heart"
"Arid5a",379.117433693724,2.14577271395282,0.214514566697832,10.0029230974108,1.47963765015046e-23,8.43627087583157e-22,125,156,614,639,"GO:0000122","AT rich interactive domain 5A (MRF1-like)"
"Hivep2",1193.09208829405,1.76897771117291,0.177080121608066,9.98970237375495,1.69088665518352e-23,9.59024876209586e-22,545,526,1821,1916,"GO:0000978","human immunodeficiency virus type I enhancer binding protein 2"
"Marcks",5636.45293981404,1.2678647863123,0.127313519860208,9.95860288604409,2.31290044145782e-23,1.30498179595378e-21,2808,3883,7588,8579,"GO:0003779","myristoylated alanine rich protein kinase C substrate"
"Sp140",1787.23382478581,1.53349236529775,0.154425964334482,9.93027546829011,3.07405118667352e-23,1.72545059612613e-21,878,950,2512,2880,"GO:0001650","Sp140 nuclear body protein"
"Ppp4r2",945.013671012957,1.66994206389877,0.168420537638951,9.91531132312785,3.57141291386629e-23,1.9942843348409e-21,428,474,1376,1541,"GO:0002244","protein phosphatase 4, regulatory subunit 2"
"Slfn2",1188.16538677429,1.65643024072829,0.167242821977847,9.9043428061008,3.98581878703913e-23,2.21427563692281e-21,451,716,1658,2010,"GO:0008285","schlafen 2"
"Hsd17b11",797.916967343346,1.77641359709624,0.180020326194195,9.86785011810254,5.73812424382548e-23,3.15538578341936e-21,280,456,1171,1338,"GO:0004303","hydroxysteroid (17-beta) dehydrogenase 11"
"Il16",569.958331250864,-2.03480733764566,0.206199356601528,-9.86815561009649,5.72067852653651e-23,3.15538578341936e-21,694,1185,230,223,"GO:0005125","interleukin 16"
"Zfp703",430.570474721702,2.13926698138332,0.216897813167656,9.86301775080476,6.02119662342019e-23,3.2943243950258e-21,123,202,638,790,"GO:0003676","zinc finger protein 703"
"Iqgap1",9945.30778870726,1.27811745565836,0.129794029012668,9.84727468113046,7.04277589269663e-23,3.83388900731571e-21,5382,6228,14062,14467,"GO:0001726","IQ motif containing GTPase activating protein 1"
"Dusp6",330.98544787394,-2.26063276894968,0.229842183422837,-9.83558690264802,7.91050103933281e-23,4.28472288795462e-21,445,669,110,122,"GO:0000188","dual specificity phosphatase 6"
"Alpk2",356.657966236308,2.37975373407623,0.243222787287663,9.78425484147444,1.31560767932537e-22,7.09053631349837e-21,121,106,557,657,"GO:0004674","alpha-kinase 2"
"Mapkapk3",621.51397223971,1.78448282270401,0.182527819907181,9.77649776133553,1.42040662319451e-22,7.61745789557731e-21,247,316,895,1062,"GO:0000165","mitogen-activated protein kinase-activated protein kinase 3"
"Pogk",445.000593249356,2.05398594622839,0.210454941761579,9.7597420570685,1.67580903677714e-22,8.94287650020038e-21,168,176,716,736,"GO:0003676","pogo transposable element with KRAB domain"
"Syngr2",5140.41325328305,1.2361223811112,0.126981180453119,9.73468963432398,2.14471394074227e-22,1.13890618235593e-20,2629,3560,6892,7755,"GO:0005515","synaptogyrin 2"
"Stat5b",1164.38497845988,1.51869321357804,0.156201161133361,9.72267557141534,2.41354660122307e-22,1.27541221127071e-20,516,701,1754,1741,"GO:0000255","signal transducer and activator of transcription 5B"
"Il4ra",1235.71179316087,1.52188286823416,0.156974417215562,9.69510124789481,3.16323784023284e-22,1.66346386035157e-20,592,685,1836,1876,"GO:0002376","interleukin 4 receptor, alpha"
"Foxp4",1207.7125595393,1.5224585513647,0.158034915375108,9.63368473195326,5.76252132823986e-22,3.01571949511219e-20,505,763,1740,1895,"GO:0000122","forkhead box P4"
"Eno2",251.464086169108,2.80759610996118,0.291716924704047,9.62438539625202,6.308290425434e-22,3.2854668355157e-20,39,91,463,428,"GO:0000015","enolase 2, gamma neuronal"
"Gpr137b",640.256853452801,1.82837431540587,0.190728091050975,9.58628750138967,9.13115761056993e-22,4.73291054522986e-20,265,297,1049,970,"GO:0003674","G protein-coupled receptor 137B"
"Gpr137b-ps",831.372984474136,1.79020179686789,0.187140544471088,9.56608201567173,1.11033873003273e-21,5.72776164878315e-20,320,433,1423,1179,NA,"G protein-coupled receptor 137B, pseudogene"
"Cdkn1a",586.451357136229,2.2712306778034,0.237722623150335,9.55412088132262,1.24637576171155e-21,6.39904674247449e-20,221,173,841,1136,"GO:0000079","cyclin-dependent kinase inhibitor 1A (P21)"
"Denr",329.722724524183,2.15321575716353,0.225722507510201,9.53921600869257,1.43916138310205e-21,7.35397889770965e-20,110,133,518,574,"GO:0001731","density-regulated protein"
"Aebp2",5022.40061393922,1.44465873149415,0.152131340104471,9.49612834871553,2.1783921936525e-21,1.10791186074355e-19,2045,3488,7324,7561,"GO:0000122","AE binding protein 2"
"Synj1",5130.32360778175,1.24192546510592,0.131155881720224,9.46907945581231,2.82320654930425e-21,1.42914937143051e-19,2674,3468,7395,7198,"GO:0004438","synaptojanin 1"
"Rasgrp3",972.41244529659,-1.51217376902571,0.159738692202008,-9.46654657165586,2.89248516614489e-21,1.4574089211557e-19,1229,1682,490,534,"GO:0005088","RAS, guanyl releasing protein 3"
"Id2",3168.06284611756,1.69365438150292,0.179153069213908,9.45367215272606,3.2714769111503e-21,1.64073654530052e-19,1150,1912,5474,4279,"GO:0000122","inhibitor of DNA binding 2"
"Arap2",7672.15509008507,1.43961962374075,0.152517930251835,9.4390188836399,3.76286120031647e-21,1.87848273654508e-19,3775,4505,12356,10258,"GO:0005096","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
"Marcksl1",1064.26038303054,1.98207364856989,0.210282200797609,9.42577945756609,4.26922740949467e-21,2.12149268472733e-19,292,598,1470,1992,"GO:0003779","MARCKS-like 1"
"Mif4gd",714.344634696649,1.69165921942529,0.179656317467593,9.41608535269254,4.68219679116696e-21,2.31608391957587e-19,317,358,1018,1197,"GO:0003723","MIF4G domain containing"
"Slc11a2",642.564160330626,1.78751204096992,0.189950129201201,9.41042813967517,4.94120053358044e-21,2.43309206273986e-19,224,365,1007,1012,"GO:0000041","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2"
"Jup",435.843380099182,2.09499724695319,0.222731304790686,9.40593981129857,5.15672760677887e-21,2.52772987168487e-19,170,157,674,758,"GO:0002159","junction plakoglobin"
"St6galnac4",359.379774434251,2.15525058155819,0.230367915037558,9.3556890559469,8.30565510555605e-21,4.05293521434634e-19,113,153,638,547,"GO:0000139","ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4"
"Spic",265.125118263331,2.30172461508037,0.24645713947676,9.3392490879633,9.701973754843e-21,4.71307092763292e-19,79,101,440,453,"GO:0000978","Spi-C transcription factor (Spi-1/PU.1 related)"
"Iqsec1",1834.34839214689,1.4431365111409,0.154718717346733,9.32748497330644,1.08412811490876e-20,5.24301779857438e-19,935,1032,2754,2672,"GO:0005085","IQ motif and Sec7 domain 1"
"Dnase1l3",18449.9082956489,1.20304045408603,0.129001619277068,9.32577793075727,1.10172384380259e-20,5.30443306662823e-19,10366,11970,24183,28056,"GO:0003677","deoxyribonuclease 1-like 3"
"Mfsd7b",2529.10140188903,1.33331209457971,0.143296805204751,9.30454864415568,1.34562639315688e-20,6.45007553852589e-19,1249,1649,3783,3539,NA,NA
"Serpina3g",2090.52068610361,1.34635988517736,0.145417156175107,9.25860414679071,2.07122102968207e-20,9.88437771565896e-19,1051,1322,2728,3373,"GO:0002250","serine (or cysteine) peptidase inhibitor, clade A, member 3G"
"Calr",2545.98807504887,1.41160542379161,0.152851190356199,9.23516146980642,2.57896739964898e-20,1.22534885264901e-18,1331,1439,3376,4146,"GO:0000122","calreticulin"
"Hhex",346.309599829922,-2.31938373580771,0.251765355084554,-9.21248173732543,3.18670365328738e-20,1.50749173257913e-18,535,619,87,149,"GO:0000122","hematopoietically expressed homeobox"
"Mapk14",2525.95801764432,-1.32346555032047,0.144497957424574,-9.15906061171347,5.23510347703382e-20,2.46573373768293e-18,3389,3814,1369,1558,"GO:0000077","mitogen-activated protein kinase 14"
"Gpr183",1786.42854267997,1.75526736964677,0.192390367930807,9.12346802246383,7.27579758162323e-20,3.41206559314824e-18,863,739,2889,2681,"GO:0002250","G protein-coupled receptor 183"
"Fbxo11",2247.62427402896,1.3962610273093,0.153687433677069,9.08506957207151,1.03632383485592e-19,4.83900694094579e-18,989,1532,3396,3193,"GO:0000151","F-box protein 11"
"Tle3",1752.09573452155,1.31187957490484,0.144473722830145,9.08040264489616,1.08173929713894e-19,5.02939133300693e-18,914,1104,2382,2687,"GO:0005515","transducin-like enhancer of split 3"
"Fzd7",310.280059533977,2.07570645715234,0.22977226344666,9.03375553696539,1.658790251451e-19,7.67934820255074e-18,103,137,503,513,"GO:0004871","frizzled class receptor 7"
"Abcg3",2252.02309237054,-1.44999658834107,0.160543022904738,-9.03182562596605,1.68831293684939e-19,7.78276342335719e-18,2729,3962,1322,1114,"GO:0005524","ATP binding cassette subfamily G member 3"
"Ubl3",1859.86762927629,1.33933656502974,0.148460220287643,9.02151810387161,1.85500582330688e-19,8.51494834062858e-18,982,1124,2502,2911,"GO:0003674","ubiquitin-like 3"
"Mpp7",285.062954527847,2.74394519477814,0.304253434164694,9.01861700365501,1.90478686926561e-19,8.70656377837737e-18,48,105,594,404,"GO:0005654","membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)"
"Plxna1",303.139963599484,2.28774914902209,0.253696780739796,9.01765147492557,1.921645732626e-19,8.74671774014179e-18,106,98,530,486,"GO:0005515","plexin A1"
"Rab20",93.6029862567382,4.67105379691603,0.521127950035684,8.96335304332876,3.14952213391558e-19,1.42756373542709e-17,9,5,184,180,"GO:0000166","RAB20, member RAS oncogene family"
"Tgm2",4983.08985907198,1.26876885714188,0.14163270419559,8.95816304820215,3.30132075621139e-19,1.49013365633492e-17,2791,3029,6638,7661,"GO:0001974","transglutaminase 2, C polypeptide"
